Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-03-23 00:00:00+05:30,7945.700195,8159.25,7583.600098,7610.25,653500,0,0
2020-03-24 00:00:00+05:30,7848.299805,8036.950195,7511.100098,7801.049805,738400,0,0
2020-03-25 00:00:00+05:30,7735.149902,8376.75,7714.75,8317.849609,736900,0,0
2020-03-26 00:00:00+05:30,8451,8749.049805,8304.900391,8641.450195,865600,0,0
2020-03-27 00:00:00+05:30,8949.099609,9038.900391,8522.900391,8660.25,801500,0,0
2020-03-30 00:00:00+05:30,8385.950195,8576,8244,8281.099609,593300,0,0
2020-03-31 00:00:00+05:30,8529.349609,8678.299805,8358,8597.75,712700,0,0
2020-04-01 00:00:00+05:30,8584.099609,8588.099609,8198.349609,8253.799805,506300,0,0
2020-04-03 00:00:00+05:30,8356.549805,8356.549805,8055.799805,8083.799805,697000,0,0
2020-04-07 00:00:00+05:30,8446.299805,8819.400391,8360.950195,8792.200195,814200,0,0
2020-04-08 00:00:00+05:30,8688.900391,9131.700195,8653.900391,8748.75,896500,0,0
2020-04-09 00:00:00+05:30,8973.049805,9128.349609,8904.549805,9111.900391,742100,0,0
2020-04-13 00:00:00+05:30,9103.950195,9112.049805,8912.400391,8993.849609,644000,0,0
2020-04-15 00:00:00+05:30,9196.400391,9261.200195,8874.099609,8925.299805,879100,0,0
2020-04-16 00:00:00+05:30,8851.25,9053.75,8821.900391,8992.799805,719400,0,0
2020-04-17 00:00:00+05:30,9323.450195,9324,9091.349609,9266.75,684200,0,0
2020-04-20 00:00:00+05:30,9390.200195,9390.849609,9230.799805,9261.849609,726400,0,0
2020-04-21 00:00:00+05:30,9016.950195,9044.400391,8909.400391,8981.450195,655100,0,0
2020-04-22 00:00:00+05:30,9026.75,9209.75,8946.25,9187.299805,734400,0,0
2020-04-23 00:00:00+05:30,9232.349609,9343.599609,9170.150391,9313.900391,666700,0,0
2020-04-24 00:00:00+05:30,9163.900391,9296.900391,9141.299805,9154.400391,659400,0,0
2020-04-27 00:00:00+05:30,9259.700195,9377.099609,9250.349609,9282.299805,512800,0,0
2020-04-28 00:00:00+05:30,9389.799805,9404.400391,9260,9380.900391,614500,0,0
2020-04-29 00:00:00+05:30,9408.599609,9599.849609,9392.349609,9553.349609,653000,0,0
2020-04-30 00:00:00+05:30,9753.5,9889.049805,9731.5,9859.900391,931200,0,0
2020-05-04 00:00:00+05:30,9533.5,9533.5,9266.950195,9293.5,687500,0,0
2020-05-05 00:00:00+05:30,9429.400391,9450.900391,9190.75,9205.599609,725200,0,0
2020-05-06 00:00:00+05:30,9226.799805,9346.900391,9116.5,9270.900391,722200,0,0
2020-05-07 00:00:00+05:30,9234.049805,9277.849609,9175.900391,9199.049805,708700,0,0
2020-05-08 00:00:00+05:30,9376.950195,9382.650391,9238.200195,9251.5,609100,0,0
2020-05-11 00:00:00+05:30,9348.150391,9439.900391,9219.950195,9239.200195,704600,0,0
2020-05-12 00:00:00+05:30,9168.849609,9240.849609,9043.950195,9196.549805,805500,0,0
2020-05-13 00:00:00+05:30,9584.200195,9584.5,9351.099609,9383.549805,846400,0,0
2020-05-14 00:00:00+05:30,9213.950195,9281.099609,9119.75,9142.75,602600,0,0
2020-05-15 00:00:00+05:30,9182.400391,9182.400391,9050,9136.849609,575900,0,0
2020-05-18 00:00:00+05:30,9158.299805,9158.299805,8806.75,8823.25,773000,0,0
2020-05-19 00:00:00+05:30,8961.700195,9030.349609,8855.299805,8879.099609,762200,0,0
2020-05-20 00:00:00+05:30,8889.150391,9093.799805,8875.349609,9066.549805,622300,0,0
